"season","c_m","zip3","ILI","popstat"
"1","C","361","62","513216"
"1","O","361","79","318111"
"1","A","362","46","691470"
"1","C","362","16","152370"
"1","O","362","21","159930"
"1","A","363","12","229532"
"1","C","363","879","955324"
"1","O","363","868","343420"
"1","A","364","2","29835"
"1","C","364","13","89021"
"1","O","364","29","91702"
"1","A","365","269","2527630"
"1","C","365","204","1160763"
"1","O","365","101","582056"
"1","A","366","52","1209460"
"1","C","366","114","777973"
"1","O","366","134","466130"
"1","A","367","29","310657"
"1","C","367","24","180482"
"1","O","367","25","72421"
"1","A","368","110","1247445"
"1","C","368","49","385493"
"1","O","368","36","289227"
"1","A","370","1089","8499532"
"1","C","370","2490","3256630"
"1","O","370","1943","3036398"
"1","A","371","509","4805098"
"1","C","371","1501","2206731"
"1","O","371","1479","1595464"
"1","A","372","269","4160674"
"1","C","372","400","1633090"
"1","O","372","321","863535"
"1","A","373","439","5296423"
"1","C","373","512","2158420"
"1","O","373","508","1883042"
"1","A","374","207","1544979"
"1","C","374","84","445785"
"1","O","374","80","354614"
"1","A","376","526","4433059"
"1","C","376","472","1393017"
"1","O","376","327","1545915"
"1","A","377","458","3291303"
"1","C","377","386","895267"
"1","O","377","203","943326"
"1","A","378","491","5166938"
"1","C","378","378","1809024"
"1","O","378","317","1517503"
"1","A","379","312","3240329"
"1","C","379","413","1191069"
"1","O","379","315","562722"
"1","A","380","54","1763377"
"1","C","380","19","391390"
"1","O","380","9","196607"
"1","A","381","302","7357113"
"1","C","381","74","1868733"
"1","O","381","44","1360017"
"1","A","382","8","107761"
"1","C","382","5","36753"
"1","O","382","4","28124"
"1","A","383","40","874315"
"1","C","383","14","190884"
"1","O","383","19","204476"
"1","A","384","92","803909"
"1","C","384","69","334357"
"1","O","384","36","179931"
"1","A","385","195","1540281"
"1","C","385","108","445134"
"1","O","385","102","641651"
"1","A","386","91","2225411"
"1","C","386","65","800589"
"1","O","386","49","501214"
"1","A","387","6","99297"
"1","C","387","6","64644"
"1","O","387","3","29516"
"1","A","388","38","699379"
"1","C","388","561","919019"
